Test Description,Passed,Reason
Verifying the IP address (10.10.1.1/24) assigned to eth0 of r1,False,The interface `eth0` of `r1` has the following IP addresses: []`.
Verifying the IP address (10.255.12.1/30) assigned to eth1 of r1,False,The interface `eth1` of `r1` has the following IP addresses: []`.
Verifying the IP address (10.255.12.2/30) assigned to eth0 of r2,False,The interface `eth0` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.255.23.1/30) assigned to eth1 of r2,False,The interface `eth1` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.10.2.1/24) assigned to eth2 of r2,False,The interface `eth2` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.255.23.2/30) assigned to eth0 of r3,False,The interface `eth0` of `r3` has the following IP addresses: []`.
Verifying the IP address (10.10.3.1/24) assigned to eth1 of r3,False,The interface `eth1` of `r3` has the following IP addresses: []`.
Verifying `10.10.2.11` reachable from device `pc1`,False,ping: connect: Network is unreachable
Verifying `10.10.2.12` reachable from device `pc1`,False,ping: connect: Network is unreachable
Verifying `10.10.2.13` reachable from device `pc1`,False,ping: connect: Network is unreachable
Verifying `10.10.3.11` reachable from device `pc1`,False,ping: connect: Network is unreachable
Verifying `10.10.3.12` reachable from device `pc1`,False,ping: connect: Network is unreachable
Verifying `10.10.3.13` reachable from device `pc1`,False,ping: connect: Network is unreachable
Verifying `10.10.2.11` reachable from device `pc2`,False,ping: connect: Network is unreachable
Verifying `10.10.2.12` reachable from device `pc2`,False,ping: connect: Network is unreachable
Verifying `10.10.2.13` reachable from device `pc2`,False,ping: connect: Network is unreachable
Verifying `10.10.3.11` reachable from device `pc2`,False,ping: connect: Network is unreachable
Verifying `10.10.3.12` reachable from device `pc2`,False,ping: connect: Network is unreachable
Verifying `10.10.3.13` reachable from device `pc2`,False,ping: connect: Network is unreachable
Verifying `10.10.2.11` reachable from device `pc3`,False,ping: connect: Network is unreachable
Verifying `10.10.2.12` reachable from device `pc3`,False,ping: connect: Network is unreachable
Verifying `10.10.2.13` reachable from device `pc3`,False,ping: connect: Network is unreachable
Verifying `10.10.3.11` reachable from device `pc3`,False,ping: connect: Network is unreachable
Verifying `10.10.3.12` reachable from device `pc3`,False,ping: connect: Network is unreachable
Verifying `10.10.3.13` reachable from device `pc3`,False,ping: connect: Network is unreachable
Verifying `10.10.1.11` reachable from device `pc4`,False,ping: connect: Network is unreachable
Verifying `10.10.1.12` reachable from device `pc4`,False,ping: connect: Network is unreachable
Verifying `10.10.1.13` reachable from device `pc4`,False,ping: connect: Network is unreachable
Verifying `10.10.3.11` reachable from device `pc4`,False,ping: connect: Network is unreachable
Verifying `10.10.3.12` reachable from device `pc4`,False,ping: connect: Network is unreachable
Verifying `10.10.3.13` reachable from device `pc4`,False,ping: connect: Network is unreachable
Verifying `10.10.1.11` reachable from device `pc5`,False,ping: connect: Network is unreachable
Verifying `10.10.1.12` reachable from device `pc5`,False,ping: connect: Network is unreachable
Verifying `10.10.1.13` reachable from device `pc5`,False,ping: connect: Network is unreachable
Verifying `10.10.3.11` reachable from device `pc5`,False,ping: connect: Network is unreachable
Verifying `10.10.3.12` reachable from device `pc5`,False,ping: connect: Network is unreachable
Verifying `10.10.3.13` reachable from device `pc5`,False,ping: connect: Network is unreachable
Verifying `10.10.1.11` reachable from device `pc6`,False,ping: connect: Network is unreachable
Verifying `10.10.1.12` reachable from device `pc6`,False,ping: connect: Network is unreachable
Verifying `10.10.1.13` reachable from device `pc6`,False,ping: connect: Network is unreachable
Verifying `10.10.3.11` reachable from device `pc6`,False,ping: connect: Network is unreachable
Verifying `10.10.3.12` reachable from device `pc6`,False,ping: connect: Network is unreachable
Verifying `10.10.3.13` reachable from device `pc6`,False,ping: connect: Network is unreachable
Verifying `10.10.1.11` reachable from device `pc7`,False,ping: connect: Network is unreachable
Verifying `10.10.1.12` reachable from device `pc7`,False,ping: connect: Network is unreachable
Verifying `10.10.1.13` reachable from device `pc7`,False,ping: connect: Network is unreachable
Verifying `10.10.2.11` reachable from device `pc7`,False,ping: connect: Network is unreachable
Verifying `10.10.2.12` reachable from device `pc7`,False,ping: connect: Network is unreachable
Verifying `10.10.2.13` reachable from device `pc7`,False,ping: connect: Network is unreachable
Verifying `10.10.1.11` reachable from device `pc8`,False,ping: connect: Network is unreachable
Verifying `10.10.1.12` reachable from device `pc8`,False,ping: connect: Network is unreachable
Verifying `10.10.1.13` reachable from device `pc8`,False,ping: connect: Network is unreachable
Verifying `10.10.2.11` reachable from device `pc8`,False,ping: connect: Network is unreachable
